,tagged_acc,values
1057,Shar_Shebeck,1
1058,bonekovic02,1
1059,brkmrn,1
1060,morganotis,1
1061,DCComics,1
1062,GailSimone,1
1063,pinningnut,1
1064,chasedillas,1
1065,Andreeeeee_3000,1
1066,kate_gurcik,1
1067,SoosIsLoose,1
1068,andresgda,1
1069,Bakxr_,1
1070,NickJChaney,1
1071,RichOnOWN,1
1072,SuperSoulSunday,1
1073,Oprah,1
1074,OWNTV,1
1075,elisamlo,1
1076,VinylMePlease,1
1077,GraysonDaley,1
1078,corinne_woods,1
1079,NicolasGarraud2,1
1080,tornawalynnski,1
1081,erb_hannah,1
1082,Vikkstar123,1
1083,PeeplesCarly,1
1084,JohnnyGulick,1
1085,a_desiree09,1
1086,cranecase,1
1087,MichaelMonroy3,1
1088,NancysPizza,1
1089,JulieCrimaldi,1
1090,MontannaKnight,1
1091,palestyria,1
1092,juliancamarena,1
1093,sassycassie92,1
1094,_kidnameren,1
1095,bendubie,1
1096,TheChristyLopez,1
1097,ochem_g,1
1098,TristamOfficial,1
1099,feeserface,1
1100,bertieisme,1
1101,AJGallicchio,1
1102,ouijameme,1
1103,teennickoficial,1
1104,WeeklyChris,1
1105,AbbieJudson,1
1106,Hass_Dinerroo,1
1107,13_roach,1
1108,TweetLikeAGirI,1
1109,asad_ladhani,1
1110,ryanjchang,1
1111,yadig99,1
1112,CallMeMichelle,1
1113,Juicy_Des,1
1114,timraycraft57,1
1115,aliyasassyass,1
1116,Newschoolers,1
1117,Jamonteverdi,1
1118,christiand,1
1119,BTSFblog,1
1120,BryFone,1
1121,lyssa_faiith,1
1122,nick__armenta,1
1123,_hersch,1
1124,kietyn,1
1125,megangia28,1
1126,ltsChuckBass,1
1127,Cozy_MrB,1
1128,curtislbean,1
1129,CEY_7,1
1130,wattsdantzler,1
1131,iamthejayc,1
1132,cwinkkk,1
1133,Karoline_Marie_,1
1134,RickiKillinen,1
1135,AmandaMoccaldi,1
1136,roroashee,1
1137,justinstaggs,1
1138,destinyjimison,1
1139,tha_indian,1
1140,tristinanncott1,1
1141,206GK,1
1142,Billionaire_B,1
1143,melanielynnnnn,1
1144,reaganjay,1
1145,babylexx_3,1
1146,SpikeFriedman,1
1147,lindzlindz16,1
1148,LeeKholafai,1
1149,SankawR,1
1150,FudgeMathew,1
1151,MassholeSports,1
1152,pablohernandez7,1
1153,brit_311,1
1154,StevenOnTwatter,1
1155,samvolmaar,1
1156,AssaultTriffle,1
1157,KansasUpdate,1
1158,ImGirlCode,1
1159,Zack_Rozay,1
1160,NexgenRapper,1
1161,EKM94,1
1162,AnishESPN,1
1163,ericazendano,1
1164,lauradeeks,1
1165,julieannxoxo,1
1166,mapytmn,1
1167,maddi_rowley,1
1168,emergingthoughts,1
1169,LovelyDawnx,1
1170,shnanananon,1
1171,MadsTheCreator,1
1172,jemelehill,1
1173,TommyAtwell,1
1174,PrincessKenaa,1
1175,caitlinedmund,1
1176,zcrom,1
1177,Intelligentsia,1
1178,PulpPictionary,1
1179,Kirsty_Hulse,1
1180,AapkaApnaHappy,1
1181,MikeHamad,1
1182,oliverstewarT5,1
1183,PandaWhoRaves,1
1184,beckyluuuwhooo,1
1185,Chuck_is_Handy,1
1186,abbywilson223,1
1187,Bluntsovahoess,1
1188,markberman,1
1189,_Jamillyyy,1
1190,truthfultumblr,1
1191,RMcElhenney,1
1192,gabygoldchain,1
1193,TroubleWithWrds,1
