,hashtag,values
1339,Wilson,1
1340,stonerproblems,1
1341,NewYearsResolutions,1
1342,ChuckCJohnson,1
1343,CharlesCJohnson,1
1344,ChuckCJohnsonPoopedOnTheFloor,1
1345,taxes,1
1346,AlSharpton,1
1347,tax,1
1348,StarWars,1
1349,soundtrack,1
1350,InboxZero,1
1351,YeahRight,1
1352,yuck,1
1353,ZeroWaste2015,1
1354,pound,1
1355,redmeat,1
1356,day,1
1357,bestolutions,1
1358,manolutions,1
1359,57,1
1360,JG,1
1361,OneMoreBirthday,1
1362,23,1
1363,mealprep,1
1364,NewyearsResolution,1
1365,nike2015,1
1366,patience,1
1367,GrumpyCat,1
1368,byuvocalpoint,1
1369,notopants,1
1370,yeslawd,1
1371,TheGreatestOfThese,1
